0.00,34.48
1.00,35.80
2.00,37.12
3.00,38.44
4.00,39.76
5.00,41.08
6.00,42.40
7.00,43.72
8.00,45.04
9.00,46.36
10.00,47.68
11.00,49.00
12.00,50.32
13.00,51.64
14.00,52.96
15.00,54.28
16.00,55.60
17.00,56.92
18.00,58.24
19.00,59.56
20.00,60.88
21.00,62.20
22.00,63.52
23.00,64.84
24.00,66.16
25.00,67.48
26.00,68.80
27.00,70.12
28.00,71.44
29.00,72.76
30.00,74.08
31.00,75.40
32.00,76.72
33.00,78.04
34.00,79.36
35.00,80.68
36.00,82.00
37.00,83.32
38.00,84.64
39.00,85.96
40.00,87.28
41.00,88.60
42.00,89.92
43.00,91.24
44.00,92.56
45.00,93.88
46.00,95.20
47.00,96.52
48.00,97.84
49.00,99.16
50.00,100.48
51.00,101.80
52.00,103.12
53.00,104.44
54.00,105.76
55.00,107.08
56.00,108.40
57.00,109.72
58.00,111.04
59.00,112.36
60.00,113.68
61.00,115.00
62.00,116.32
63.00,117.64
64.00,118.96
65.00,120.28
66.00,121.60
67.00,122.92
68.00,124.24
69.00,125.56
70.00,126.88
71.00,128.20
72.00,129.52
73.00,130.84
74.00,132.16
75.00,133.48
76.00,134.80
77.00,136.12
78.00,137.44
79.00,138.76
80.00,140.08
81.00,141.40
82.00,142.72
83.00,144.04
84.00,145.36
85.00,146.68
86.00,148.00
87.00,149.32
88.00,150.64
89.00,151.96
90.00,153.28
91.00,154.60
92.00,155.92
93.00,157.24
94.00,158.56
95.00,159.88
96.00,161.20
97.00,162.52
98.00,163.84
99.00,165.16
