x,y
0,60
1,61.3
2,62.6
3,63.9
4,65.2
5,66.5
6,67.8
7,69.1
8,70.4
9,71.7
10,73
11,74.3
12,75.6
13,76.9
14,78.2
15,79.5
16,80.8
17,82.1
18,83.4
19,84.7
20,86
21,87.3
22,88.6
23,89.9
24,91.2
25,92.5
26,93.8
27,95.1
28,96.4
29,97.7
30,99
31,100.3
32,101.6
33,102.9
34,104.2
35,105.5
36,106.8
37,108.1
38,109.4
39,110.7
40,112
41,113.3
42,114.6
43,115.9
44,117.2
45,118.5
46,119.8
47,121.1
48,122.4
49,123.7
50,125
51,126.3
52,127.6
53,128.9
54,130.2
55,131.5
56,132.8
57,134.1
58,135.4
59,136.7
60,138
61,139.3
62,140.6
63,141.9
64,143.2
65,144.5
66,145.8
67,147.1
68,148.4
69,149.7
70,151
71,152.3
72,153.6
73,154.9
74,156.2
75,157.5
76,158.8
77,160.1
78,161.4
79,162.7
80,164
81,165.3
82,166.6
83,167.9
84,169.2
85,170.5
86,171.8
87,173.1
88,174.4
89,175.7
90,177
91,178.3
92,179.6
93,180.9
94,182.2
95,183.5
96,184.8
97,186.1
98,187.4
99,188.7
